seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
65,Kenneth,Campbell,39,Juwvo Street,Morasatut,NJ,78388,$8405.50,BLUE,05/10/2046
66,Jerry,Potter,57,Iruwe View,Hailuuge,DC,54202,$9758.95,WHITE,04/25/2028
67,Stella,Evans,26,Ninu Trail,Cidomko,MI,56734,$1521.83,WHITE,06/30/1928
68,Rena,Lyons,38,Nulci Loop,Dopuwdik,AR,14939,$9844.17,YELLOW,08/14/2041
69,Agnes,Warren,39,Agiku Place,Hafadji,ID,57414,$7929.11,GREEN,11/24/2006
70,Lester,Sherman,21,Pelrud River,Odzaeli,TN,07149,$1615.75,RED,12/15/2012
71,Dylan,Hardy,29,Ewope Place,Mugvobal,PA,76214,$3444.20,YELLOW,03/19/2051
72,Harold,Patton,26,Udsid Grove,Arbout,ME,41852,$8838.23,WHITE,04/17/2032
73,Brian,Olson,34,Jocep Street,Koisaazi,IA,67053,$8810.41,WHITE,09/23/1951
74,Cole,Little,37,Lorko Path,Nenvezhe,OH,65592,$6700.87,RED,11/17/2004
75,Jeanette,Wheeler,40,Ripcu Street,Ezgibsot,DC,70905,$8542.79,YELLOW,05/29/1911
76,Francis,Rowe,38,Ribjin Trail,Hasishe,NJ,59691,$4249.20,BLUE,01/10/1946
77,Eddie,Kim,55,Awofi Manor,Gouhko,ME,54435,$7321.24,YELLOW,03/22/1920
78,Jayden,Thomas,46,Lere Glen,Bikakuk,TX,12545,$8359.74,WHITE,07/06/2055
79,Francisco,Buchanan,31,Pujwen Lane,Juzulna,IN,93669,$5936.36,BLUE,01/06/2063
80,Andre,Abbott,38,Usni Lane,Cetnitvus,UT,91012,$9852.99,WHITE,08/16/1935
81,Frederick,Munoz,32,Wuvsa Road,Modhumjib,MD,09797,$6285.83,YELLOW,01/14/1916
82,Isabella,Jackson,57,Wafo View,Bovriwhu,NJ,03020,$2912.45,RED,05/14/1956
83,Glenn,Cannon,50,Vokjiv Mill,Siojolu,WA,12556,$4930.68,WHITE,03/24/2045
84,Sean,Reese,22,Cahsur Avenue,Wiifiuh,ND,81720,$2614.90,YELLOW,04/25/1936
85,Jon,Shaw,61,Vatto Turnpike,Cifoddiw,WV,41289,$1727.25,WHITE,09/13/1948
86,Marcus,Padilla,40,Tiji Point,Buwamep,KS,84389,$1520.14,RED,12/03/1949
87,Martha,Lindsey,33,Hoblaw Mill,Acamomir,AK,55047,$7634.08,BLUE,01/30/1989
88,Ethel,Guerrero,46,Toto Pass,Adzami,TN,47932,$4591.13,BLUE,12/17/1992
89,Harry,Lawson,42,Mufel Key,Wibbivut,CO,91556,$5710.82,WHITE,02/18/2050
90,Dora,Stewart,64,Osubom Square,Buakzew,NM,97402,$2669.22,YELLOW,10/03/2024
91,Grace,Nelson,34,Pibjos Pass,Ihfudih,HI,93678,$7441.09,RED,01/11/1974
92,Sean,Hansen,30,Reifa Glen,Unebajvok,NY,94270,$7567.64,GREEN,04/27/2066
93,Eleanor,Mack,50,Vuadi Glen,Kucace,MN,19961,$3178.55,BLUE,12/24/1910
94,Bradley,Byrd,47,Geki Boulevard,Hifajih,VA,77931,$215.08,BLUE,05/21/2070
95,Lawrence,Thornton,61,Cihul Drive,Tavuche,HI,01394,$738.94,GREEN,09/03/1936
96,Alfred,Chambers,55,Sive Place,Vileuna,NH,38504,$6686.92,BLUE,11/06/1900
97,Lina,Griffith,28,Zivin Court,Zuhmeud,MN,02505,$147.71,RED,06/07/1907
98,Elizabeth,Hale,62,Jifgo Pass,Esomoap,UT,85017,$2073.04,GREEN,07/28/2057
99,Melvin,Ellis,28,Todubi Lane,Zudukal,IL,94382,$7459.20,RED,01/25/1920
100,Eula,Harrington,58,Zisuf Avenue,Edokuvo,NJ,68195,$7552.01,WHITE,08/23/2003
101,Scott,Gross,31,Opagen Pike,Wowavobe,WI,99875,$3824.77,RED,06/18/2012
102,Gordon,Wade,33,Sumod Plaza,Buuvosig,KY,28038,$451.99,YELLOW,02/21/1900
103,Harriett,Gilbert,38,Riok Loop,Zuwulkoc,TN,76915,$6368.92,YELLOW,05/30/2060
104,Della,Gilbert,62,Pomim Point,Capacemi,MO,16938,$8635.50,BLUE,01/04/2061
105,Ethel,Young,30,Ulapi Point,Bodbawvow,TN,51458,$4003.95,GREEN,07/09/2046
106,Sue,Lloyd,59,Lifli Loop,Dimetzu,AR,61052,$23.26,YELLOW,06/30/1960
107,Lewis,Hogan,19,Owiaja Trail,Nehoswap,WI,33860,$3183.31,GREEN,05/29/1977
108,Chester,Gregory,27,Mofu Terrace,Sorcujus,AK,64521,$9537.64,WHITE,12/17/1920
109,Jeff,Rivera,58,Gifzo Pike,Sobnaginu,AK,77566,$3387.64,WHITE,05/03/2041
110,Elsie,Alvarado,50,Paji Glen,Lofumhal,ND,85548,$4291.90,YELLOW,08/06/1917
111,Raymond,Austin,22,Ceca Key,Feecvo,NM,34619,$2138.28,WHITE,11/30/2060
112,Steve,Olson,29,Nikeg Loop,Bifezo,RI,73041,$5704.33,WHITE,12/21/2004
113,Randy,Floyd,46,Gukji Court,Hawicdah,IA,01564,$9991.58,YELLOW,07/31/2036
114,Gerald,Payne,60,Fapa Mill,Zalipibe,IL,76803,$5353.21,BLUE,06/27/2033
115,Franklin,Reyes,29,Ezacu Junction,Sofzolo,OK,71747,$8800.60,GREEN,05/03/1942
116,Mario,Watson,48,Femlug Path,Gijokez,NV,94328,$6398.50,YELLOW,06/18/2023
117,Jose,Lane,47,Odcav Heights,Zazkorul,WI,74633,$3032.44,RED,04/14/1905
118,Sophie,Erickson,61,Ijepi Key,Pejubep,AZ,13559,$2497.22,RED,10/10/2070
119,Dollie,Wong,19,Pagipi Avenue,Bihnaiw,WI,19327,$4674.12,YELLOW,09/27/1942
120,Jay,Thompson,49,Dusaf Circle,Arerarip,HI,94358,$6084.41,GREEN,04/27/1969
121,Justin,Mendez,57,Poobo Drive,Zotursuj,NJ,18542,$8024.63,BLUE,05/07/1928
122,Addie,Willis,42,Loches Mill,Wuvufegi,OR,93079,$8382.05,YELLOW,03/29/1940
123,Owen,Barber,49,Olujad Heights,Wopeset,NY,80244,$7928.93,GREEN,12/22/1978
124,Elnora,Peterson,26,Isger Pass,Votekud,NY,10419,$5115.09,GREEN,11/16/1971
125,Dale,Nunez,34,Abrur Square,Fowipi,NM,22009,$2964.69,YELLOW,08/13/1994
126,Della,Cain,36,Ogcev Mill,Ocojikil,CA,65027,$1982.39,YELLOW,09/09/2049
127,Janie,Logan,64,Huso River,Uwvocpur,NC,65252,$5482.90,BLUE,08/01/2014
128,Lois,Luna,21,Lacleg Lane,Cucuato,OH,16234,$3122.87,WHITE,06/05/1956
129,Peter,Flowers,40,Jehid Manor,Doleen,LA,88445,$9327.56,RED,04/08/2058
130,Howard,Norris,20,Cohoh Plaza,Tekahuh,VA,77380,$9377.13,RED,02/02/1980
131,Caleb,Stewart,60,Weznoz Turnpike,Pavcomma,KS,22982,$7995.06,RED,03/24/1920
132,Julia,Walsh,18,Zupger Key,Robdamsi,NE,20002,$7853.14,BLUE,12/07/1984
133,Lida,Hale,21,Ugipe Terrace,Bubobi,WA,19916,$6072.52,BLUE,03/23/2051
134,Rosalie,Armstrong,52,Lubu Square,Kiahama,NM,50150,$260.90,BLUE,10/29/1999
135,Mitchell,Griffith,48,Jiiba Glen,Orlosu,AK,41908,$7245.64,GREEN,10/17/1938
136,Marc,Arnold,48,Gicseg Mill,Livdidota,MS,36120,$9188.59,BLUE,10/29/1998
137,Rosie,Cohen,63,Evopu River,Mibafozi,OH,74544,$5423.90,BLUE,10/17/2028
138,Rachel,Hernandez,56,Mikku Parkway,Kopaez,ND,99512,$9182.13,RED,02/03/2041
139,Eric,Holland,38,Zollo Pike,Hegvipo,AR,84357,$4120.52,BLUE,11/26/2065
140,Etta,Blake,28,Iwuoj Center,Zithiawo,WI,76123,$7709.51,BLUE,10/09/1941
141,Daniel,Brewer,59,Pufowe Square,Jehifa,NV,32680,$5191.98,RED,01/27/1969
142,Caleb,Nelson,31,Lovwuv Point,Zimisezi,DE,00951,$8128.05,RED,11/02/1946
143,Steve,Martin,29,Gofdo Plaza,Wewgawje,PA,50427,$8140.91,GREEN,03/30/1904
144,Ophelia,Parsons,27,Bitaz Turnpike,Vesjapi,DE,75436,$4829.09,GREEN,12/12/2067
145,Rosie,Jackson,29,Bimvaz Grove,Gobaposi,IN,78280,$7932.66,BLUE,11/05/1973
146,Augusta,Johnston,27,Idimar Glen,Varunipa,VA,10865,$3114.09,WHITE,08/01/2043
147,Arthur,Cortez,56,Hunuc Center,Zegifma,DC,61770,$1251.23,YELLOW,07/17/2004
148,Winnie,White,19,Sola Place,Madjomeh,RI,19368,$1814.79,BLUE,12/05/1956
149,Glenn,Graves,62,Cipo Junction,Ewotudbeg,TN,83167,$6257.15,GREEN,03/10/1933
150,Jordan,Perry,36,Howson Lane,Itobebeb,MD,35368,$1611.17,WHITE,12/27/1972
151,Dora,Henderson,44,Nundu Center,Zahjadez,ND,22043,$1360.23,RED,10/06/1955
152,Loretta,Austin,40,Zavbop Pike,Pegobiako,WY,67786,$6937.48,GREEN,05/13/2025
153,Katie,Taylor,51,Ovda Manor,Bemeric,PA,07506,$4125.12,YELLOW,03/20/1987
154,Georgia,Harmon,24,Zogje Key,Dagilzug,TX,25041,$1355.94,WHITE,08/09/1902
155,Loretta,Bennett,41,Igve Mill,Zejase,AL,71064,$1340.05,BLUE,02/18/1984
156,Michael,Hill,54,Katjez Grove,Bikeeto,MI,61000,$4074.34,GREEN,07/16/2059
157,Jesus,Strickland,29,Heov Circle,Cucrucej,SC,34943,$6180.59,BLUE,07/09/2001
158,Elmer,Leonard,43,Vadoc Heights,Azaperpo,CA,26802,$6326.58,YELLOW,06/06/1993
159,Amanda,Roy,50,Cehob Pike,Jotrilli,ND,68387,$8223.16,YELLOW,01/31/1945
160,Maria,Payne,35,Geiru Way,Pusvinewi,AZ,58070,$3043.04,YELLOW,10/13/1932
161,Joel,Daniels,39,Evepuk Drive,Evocunic,NE,01329,$595.25,BLUE,03/14/1994
162,Steven,Hines,57,Cicni Parkway,Toshonul,NJ,06553,$9235.51,YELLOW,03/05/2008
163,Ryan,Steele,20,Utosen Point,Ikrohop,NC,92458,$4068.69,YELLOW,08/30/2052
164,Bradley,Byrd,54,Vewu Avenue,Owipahhe,AR,32973,$6262.26,GREEN,05/27/2009
165,Russell,Watkins,56,Geru Terrace,Duzuzsez,WI,94244,$9516.13,RED,04/10/1975
166,Bernice,Paul,36,Imrid Lane,Nowopez,AK,47474,$6479.10,GREEN,03/24/1973
167,Clayton,Johnston,36,Evesu Way,Akewowet,VT,84600,$1432.24,RED,01/12/2013
168,Lewis,Lamb,41,Panew River,Mapemo,KS,42664,$584.02,BLUE,09/28/1989
169,Julia,Marsh,30,Egivu Pike,Nocuztu,PA,78622,$9412.67,YELLOW,03/07/2060
170,Iva,Davis,58,Udez Heights,Mocowi,FL,23400,$5762.93,GREEN,10/13/2044
171,Bernard,Atkins,24,Zajen Road,Ropiafi,NC,68240,$2217.67,GREEN,05/07/1915
172,Mittie,Vaughn,32,Gizuc Street,Unurce,ME,82891,$7034.04,GREEN,06/19/2020
173,Addie,Robertson,62,Vokom Heights,Ibnuep,MI,94338,$5393.91,RED,02/20/2041
174,Nicholas,Terry,49,Nataho Center,Ohicuvoz,OK,90132,$1940.24,BLUE,02/17/2059
175,Hunter,Lindsey,41,Owwuv Lane,Kihebe,MS,57026,$5840.27,BLUE,12/29/2043
176,Tom,Duncan,49,Datwun Boulevard,Muldale,MD,14257,$1202.68,GREEN,05/13/2052
177,Barbara,Burke,50,Fapa Avenue,Cazedo,AK,86372,$4908.98,GREEN,11/06/2008
178,Amanda,Mathis,32,Jaku Circle,Jabjalnuc,LA,89020,$8155.47,YELLOW,08/21/2070
179,Bess,McGee,38,Piis Turnpike,Tubfowuvu,TN,93569,$2392.58,BLUE,10/06/1956
180,Anne,Moss,29,Bepkib Highway,Semmogsob,MT,01425,$2224.36,BLUE,12/31/2006
181,Isaiah,Barrett,58,Wacfas Point,Jigtawo,OK,03065,$5384.23,YELLOW,06/24/1992
182,Frank,Burns,56,Rigobe Ridge,Futusre,SC,08736,$2432.82,WHITE,12/31/1905
183,Nathan,Gill,46,Zure Path,Ugeciswop,UT,18541,$7853.48,BLUE,01/05/1906
184,Hunter,Henderson,22,Doopa Way,Cuzbimsiz,CT,53518,$7965.49,GREEN,07/17/2029
185,Jayden,McCoy,29,Desav Grove,Wawomav,OH,83674,$6722.53,YELLOW,12/07/1919
186,Hallie,Jones,24,Orusek Circle,Dirsapi,FL,79497,$1771.83,WHITE,02/07/1909
187,Milton,Maxwell,19,Okdeb Mill,Sitjuru,MI,83645,$8722.55,BLUE,12/10/1965
188,Antonio,Tran,43,Tijuw Grove,Jifogmu,IA,93938,$6714.53,BLUE,09/24/1931
189,Tom,Clarke,52,Ache Way,Rorowwu,ME,14310,$3892.90,WHITE,03/29/1995
190,Devin,Patterson,23,Opsa Trail,Mutgemrez,MD,97738,$6947.93,BLUE,04/09/1917
191,Mike,George,39,Ifum Junction,Vilunre,WA,51652,$7016.92,BLUE,08/08/1923
192,Cory,Fletcher,38,Jimvi Extension,Colaebe,NJ,29771,$8629.14,GREEN,12/02/1921
193,Rosetta,Cummings,20,Lamol Avenue,Fejgiripi,MD,10304,$2083.78,RED,07/10/2004
194,Gavin,Chapman,54,Ehela Ridge,Zudojoto,UT,85669,$2375.51,WHITE,01/15/2018
195,George,Fletcher,50,Zuabo Glen,Abgeobi,KY,29525,$257.55,GREEN,08/12/1958
196,Darrell,Johnson,33,Dinib Key,Socenoc,CO,50391,$8246.76,BLUE,12/06/1948
197,Jackson,Black,18,Kukal Parkway,Cupcenad,NY,04563,$5029.83,BLUE,08/31/1980
198,Harriet,Day,23,Rihte Path,Wogiaja,ID,82173,$6519.86,BLUE,06/17/1992
199,Norman,Simon,26,Etheb Parkway,Fazicuzug,IN,58978,$5936.60,YELLOW,11/15/2065
200,Georgia,Sutton,21,Rumda View,Eclatfor,MD,52740,$9257.35,WHITE,10/30/2008
201,Gabriel,Byrd,25,Tediha Boulevard,Daretpij,TX,86488,$6815.62,BLUE,02/19/2017
202,Sean,Salazar,38,Ewotak Glen,Lasebves,WY,69071,$315.12,BLUE,08/02/1950
203,Robert,Hart,27,Viviw Junction,Tirekfob,NM,80295,$6340.76,BLUE,12/29/1975
204,Augusta,Strickland,50,Ivetus Glen,Supiep,WI,93930,$9861.53,BLUE,03/27/1985
205,Christina,Bell,64,Jonvo Ridge,Gijwani,WA,72205,$9285.17,YELLOW,04/30/2006
206,Madge,Caldwell,42,Gahafi Center,Cadgair,TX,87258,$3851.87,BLUE,03/21/1906
207,Blanche,Washington,62,Luzso Pass,Kusagjit,DE,32470,$303.42,BLUE,04/19/2057
208,Eddie,Franklin,45,Ahtub Grove,Boszawhud,IA,38516,$3997.37,YELLOW,12/16/1997
209,Ollie,Jackson,45,Zagni Path,Ligecod,NY,60627,$3138.62,WHITE,11/11/1986
210,Olive,Hines,29,Gukoj Pass,Lidgusip,AL,59038,$7853.50,YELLOW,05/09/2056
211,Lillian,Welch,46,Kohav Glen,Noijicu,RI,51364,$8786.85,BLUE,07/07/1947
212,Sylvia,Osborne,41,Vida Avenue,Zolurijol,VA,10338,$356.84,BLUE,07/21/2032
213,Steve,Carter,40,Puoki Grove,Mutovzu,MD,29900,$8555.63,BLUE,05/29/1911
214,Brian,Figueroa,27,Vecota Pass,Moveas,FL,49457,$8916.36,WHITE,12/07/2044
215,Lilly,Vaughn,32,Esitak Square,Tenfuvfa,CA,51122,$6619.86,RED,05/28/1930
216,Essie,Elliott,64,Vozob Glen,Afavahti,WA,86231,$2114.51,YELLOW,11/10/1998
217,Jorge,Fields,45,Pideza Trail,Hipunlup,IA,03715,$8635.20,RED,12/09/1956
218,Allie,Gonzales,19,Wimiv Junction,Amijufi,ND,81897,$6449.24,YELLOW,10/04/1977
219,Donald,Marshall,60,Derah Boulevard,Lafonva,KY,25325,$1998.23,YELLOW,03/11/2012
220,Glenn,Watts,60,Seguk Street,Aciruka,KS,39613,$6783.69,RED,03/30/1991
221,Chris,Morrison,51,Ezut Path,Sufetzu,ID,70930,$3935.14,YELLOW,07/18/1994
222,Harriett,Graham,26,Kinbup Mill,Suwjofli,IN,01827,$3058.82,BLUE,04/04/2023
223,Mario,Rice,30,Puca Highway,Macizak,NC,02420,$6903.32,BLUE,05/29/1945
224,Virginia,Barnett,29,Tubes Mill,Ilmajtac,KS,07298,$7066.59,GREEN,02/20/1972
225,Luis,Cortez,65,Gahep Lane,Petgolaw,TX,07779,$5277.09,WHITE,12/22/1950
226,Elmer,Jensen,49,Netuko Parkway,Cezackiw,NH,05541,$7609.96,RED,01/18/2059
227,Maude,Keller,62,Ovid Square,Vutitres,TN,92514,$9146.59,RED,03/27/1959
228,Anthony,Bryant,46,Murke River,Lokirgez,MA,30425,$7402.96,BLUE,10/14/1990
229,Eddie,Bridges,55,Asdu Point,Farmuvec,MO,44509,$8404.84,WHITE,04/16/2037
230,Jesse,Day,50,Bichuw Boulevard,Lidegi,AR,57041,$7065.87,YELLOW,06/15/1969
231,Lela,Bennett,44,Odeke Loop,Ciklozjuf,OH,35724,$7854.86,GREEN,07/30/2010
232,Lilly,Fox,65,Afeow Manor,Lisoziru,MO,16341,$1976.54,GREEN,09/05/1938
233,Cornelia,Rowe,52,Uvogi Pass,Gisutipa,NE,62610,$5746.29,GREEN,02/06/1909
234,Sue,Baldwin,63,Ibduf Square,Taebemed,NY,87572,$7188.94,BLUE,04/22/1902
235,Rosalie,Carroll,24,Zalop Turnpike,Lezeese,KS,78189,$1984.25,WHITE,08/19/1946
236,Zachary,Thornton,50,Otedu View,Agizapha,MN,58662,$3321.31,WHITE,09/03/1956
237,Katie,Turner,58,Apaza Avenue,Nibdarir,NV,38276,$6126.77,GREEN,03/31/1986
238,Irene,Bowers,49,Adlu Point,Wiseam,NM,08586,$4660.31,WHITE,06/28/1936
239,Dennis,Caldwell,55,Sovma Pass,Udbesid,OK,64480,$6454.49,GREEN,12/29/2067
240,Bryan,McKinney,45,Civamu Avenue,Ijanajgon,AR,30055,$7959.13,BLUE,02/18/1953
241,Caroline,Bryant,30,Moru Parkway,Asoditig,ND,27483,$3316.28,BLUE,06/15/2031
242,Sallie,Burton,65,Buhdu Way,Zowuwup,WY,95508,$5197.08,YELLOW,02/07/2017
243,Olga,Webster,25,Wupru Trail,Koggiziw,IA,95026,$7362.56,BLUE,05/07/1940
244,Margaret,Matthews,46,Refmu Extension,Naevutag,MS,06113,$2914.93,WHITE,07/08/2054
245,Eva,Neal,29,Feva Drive,Ponhuvi,MO,20842,$5228.05,RED,08/02/2024
246,Seth,Wade,36,Ipefo Square,Delbewe,MT,19539,$4377.90,RED,03/02/1936
247,Francis,Hammond,54,Kedib Square,Derbozus,DC,49945,$4814.70,YELLOW,04/11/2040
248,Barbara,Brewer,33,Edegup Street,Laculin,MO,77721,$1487.65,BLUE,02/27/1968
249,Alejandro,Poole,30,Useuri Center,Cumbuffih,DC,35067,$4174.46,YELLOW,10/08/2031
250,Ricardo,Walker,35,Ogno Turnpike,Cakjulri,NE,69863,$5120.18,GREEN,04/28/2010
251,Jeremiah,Cooper,27,Uzesi Park,Topjibaf,OK,04967,$1248.38,GREEN,09/12/1901
252,Aiden,Hill,26,Vise Square,Riddinse,NE,50841,$4553.33,RED,02/15/1946
253,Dominic,Shelton,38,Jerac Highway,Luhoer,DE,06476,$5406.08,WHITE,05/31/2059
254,Eugenia,Atkins,58,Opieko Park,Retlisam,ID,22172,$3226.65,WHITE,05/16/2020
255,Lena,Guzman,18,Hipoz Junction,Zojebtum,WI,26355,$7234.38,WHITE,11/27/1970
256,Randall,Walton,58,Jebhe Square,Fukofuw,NH,31515,$7749.26,GREEN,06/08/2002
257,Chris,Sandoval,49,Tawba Parkway,Leerroj,NM,61544,$2642.74,WHITE,09/29/2055
258,Isaiah,Rowe,24,Ejwa Pike,Konujfic,KY,52449,$2903.52,GREEN,03/19/2020
259,Ann,Gordon,25,Avka View,Pipidat,TX,84325,$4636.62,BLUE,02/12/1967
260,Lena,Mack,35,Ogawo Street,Zecjonic,TN,59689,$3287.08,BLUE,11/09/2034
261,Jordan,Rose,31,Nolej Heights,Uvivirako,WA,57701,$3115.87,WHITE,12/25/1983
262,Jayden,Fleming,46,Majin Court,Bidupiga,RI,82525,$8152.88,WHITE,08/30/1901
263,Clara,Ford,53,Bugno Glen,Wacarhus,LA,35854,$9216.10,RED,08/12/2036
264,Harry,Hicks,53,Huic Plaza,Nitinro,NV,06821,$2152.06,RED,02/08/2058
265,Dominic,Casey,33,Ihade Manor,Letidi,SD,99713,$3435.29,BLUE,10/30/2009
266,Anne,Gibbs,48,Tapcoc Key,Ragkohep,NY,10500,$3087.33,RED,02/22/1901
267,Victor,Bowman,47,Febram Park,Wosrihhad,LA,62732,$7640.66,RED,10/03/1989
268,Ronald,Gibbs,32,Pecij Glen,Lusefo,NH,58287,$5366.99,BLUE,01/20/1959
